Date,Adj Close,Close,High,Low,Open,Volume,Log_returns
2012-01-03,2648.719970703125,2648.719970703125,2665.89990234375,2641.97998046875,2657.389892578125,1636850000,
2012-01-04,2648.360107421875,2648.360107421875,2653.179931640625,2627.22998046875,2639.89990234375,1670530000,-0.00013587232078663512
2012-01-05,2669.860107421875,2669.860107421875,2673.56005859375,2631.22998046875,2642.570068359375,1836410000,0.00808545575805427
2012-01-06,2674.219970703125,2674.219970703125,2682.1201171875,2658.830078125,2671.169921875,1683090000,0.001631661271834138
2012-01-09,2676.56005859375,2676.56005859375,2683.780029296875,2662.9599609375,2682.97998046875,1768080000,0.0008746717401960524
2012-01-10,2702.5,2702.5,2712.5,2694.330078125,2704.419921875,1809500000,0.009644860703680092
2012-01-11,2710.760009765625,2710.760009765625,2714.2900390625,2690.72998046875,2695.77001953125,1699660000,0.003051771450619982
2012-01-12,2724.699951171875,2724.699951171875,2726.429931640625,2697.320068359375,2716.8701171875,1669550000,0.005129270409150128
2012-01-13,2710.669921875,2710.669921875,2712.929931640625,2689.580078125,2707.409912109375,1655960000,-0.005162504405261551
2012-01-17,2728.080078125,2728.080078125,2742.72998046875,2721.030029296875,2736.340087890625,1664210000,0.006402285716049106
2012-01-18,2769.7099609375,2769.7099609375,2769.7099609375,2730.050048828125,2731.159912109375,1968940000,0.015144513772497408
2012-01-19,2788.330078125,2788.330078125,2793.35009765625,2777.169921875,2779.739990234375,1959950000,0.006700270856981982
2012-01-20,2786.699951171875,2786.699951171875,2787.199951171875,2775.8701171875,2776.0400390625,1949660000,-0.0005847957736605971
2012-01-23,2784.169921875,2784.169921875,2804.989990234375,2769.820068359375,2786.2099609375,1652940000,-0.0009083067917489569
2012-01-24,2786.639892578125,2786.639892578125,2788.3798828125,2766.340087890625,2771.580078125,1620690000,0.0008867546899801734
2012-01-25,2818.31005859375,2818.31005859375,2822.7900390625,2788.949951171875,2803.22998046875,1918040000,0.011300904857934372
2012-01-26,2805.280029296875,2805.280029296875,2834.300048828125,2794.780029296875,2828.780029296875,1998970000,-0.004634069130610969
2012-01-27,2816.550048828125,2816.550048828125,2821.550048828125,2797.239990234375,2797.659912109375,1707350000,0.00400938287778243
2012-01-30,2811.93994140625,2811.93994140625,2816.85009765625,2782.43994140625,2790.39990234375,1668970000,-0.0016381333042438065
2012-01-31,2813.840087890625,2813.840087890625,2830.449951171875,2798.77001953125,2825.760009765625,1786550000,0.0006755139897884146
2012-02-01,2848.27001953125,2848.27001953125,2855.72998046875,2825.18994140625,2830.10009765625,2125720000,0.012161669537708584
2012-02-02,2859.679931640625,2859.679931640625,2868.22998046875,2849.39990234375,2854.10009765625,1913430000,0.003997907271184174
2012-02-03,2905.659912109375,2905.659912109375,2908.1298828125,2885.840087890625,2888.949951171875,2152890000,0.015950822187915412
2012-02-06,2901.989990234375,2901.989990234375,2903.030029296875,2887.330078125,2892.52001953125,1684490000,-0.0012638235517608625
2012-02-07,2904.080078125,2904.080078125,2910.27001953125,2885.169921875,2895.909912109375,1784580000,0.0007199665027463553
2012-02-08,2915.860107421875,2915.860107421875,2918.260009765625,2892.7099609375,2906.590087890625,1981150000,0.004048167166178811
2012-02-09,2927.22998046875,2927.22998046875,2930.679931640625,2904.510009765625,2922.4599609375,2153090000,0.003891737839453299
2012-02-10,2903.8798828125,2903.8798828125,2910.97998046875,2895.10009765625,2902.0,1787640000,-0.008008843260690898
2012-02-13,2931.389892578125,2931.389892578125,2933.929931640625,2913.889892578125,2926.2099609375,1619980000,0.00942894318136172
2012-02-14,2931.830078125,2931.830078125,2932.080078125,2911.60009765625,2921.699951171875,1881630000,0.00015015146963663615
2012-02-15,2915.830078125,2915.830078125,2958.18994140625,2911.330078125,2943.419921875,2038980000,-0.005472287889641484
2012-02-16,2959.85009765625,2959.85009765625,2961.3798828125,2912.719970703125,2915.669921875,1945230000,0.014984084169309807
2012-02-17,2951.780029296875,2951.780029296875,2962.780029296875,2941.550048828125,2958.219970703125,1973900000,-0.002730236228943073
2012-02-21,2948.570068359375,2948.570068359375,2965.050048828125,2934.070068359375,2957.300048828125,1821540000,-0.0010880578952277707
2012-02-22,2933.169921875,2933.169921875,2950.3701171875,2929.679931640625,2942.77001953125,1706310000,-0.00523660743314169
2012-02-23,2956.97998046875,2956.97998046875,2958.419921875,2922.9599609375,2933.159912109375,1768390000,0.008084747817990711
2012-02-24,2963.75,2963.75,2970.8798828125,2958.820068359375,2963.1298828125,1643180000,0.002286887766914398
2012-02-27,2966.159912109375,2966.159912109375,2976.080078125,2933.300048828125,2945.8701171875,1763650000,0.0008127989388601119
2012-02-28,2986.760009765625,2986.760009765625,2988.590087890625,2966.610107421875,2969.25,1812490000,0.006921033763758512
2012-02-29,2966.889892578125,2966.889892578125,3000.110107421875,2961.77001953125,2991.669921875,2170190000,-0.006674961171596184
2012-03-01,2988.969970703125,2988.969970703125,2996.3701171875,2974.590087890625,2979.110107421875,1903690000,0.007414606719663
2012-03-02,2976.18994140625,2976.18994140625,2995.969970703125,2968.0,2986.080078125,1755130000,-0.004284897316746735
2012-03-05,2950.47998046875,2950.47998046875,2973.929931640625,2940.52001953125,2969.72998046875,1679030000,-0.008676076971106755
2012-03-06,2910.320068359375,2910.320068359375,2921.77001953125,2900.280029296875,2917.52001953125,1870720000,-0.013704798098336362
2012-03-07,2935.68994140625,2935.68994140625,2940.280029296875,2920.5400390625,2922.570068359375,1589360000,0.00867943512554968
2012-03-08,2970.419921875,2970.419921875,2976.050048828125,2945.72998046875,2954.39990234375,1619740000,0.011760831269467234
2012-03-09,2988.340087890625,2988.340087890625,2993.97998046875,2973.9599609375,2975.090087890625,1580560000,0.00601474803863019
